"names","avgs","df","sd","idf"
"crisp",68.0810810810811,37,17.8710441921101,10.1719543941541
"selfconsci",58.8307692307692,65,21.0215268763783,9.35903994675455
"bleak",67.5217391304348,92,22.4268385985148,8.85784580372599
"degre",63.7407407407407,81,20.8310222743167,9.04155775689838
"except",59.5375,320,23.8734798730911,7.05947966489564
"solut",60.1153846153846,26,21.5880099535179,10.6809680416419
"solv",64.1290322580645,31,24.7931950152193,10.4272114493961
"unless",44.4390243902439,41,21.9976769911433,10.0238557551649
"suspens",63.840354767184,451,22.5237597677666,6.56442413652763
"thrillerslam",100,1,1,15.381407759783
"sudden",65.3230769230769,65,21.3040233792373,9.35903994675455
"blast",69.8369565217391,92,22.7933739168447,8.85784580372599
"bonechil",90.2,5,11.4019228991567,13.0594796648956
"pulsepound",69,13,15.456832294801,11.6809680416419
"interplay",73,17,17.8002976164114,11.2939449185327
"starl",100,2,1,14.381407759783
"lector",87.5,2,18.6776695296637,14.381407759783
"share",68.3648648648649,148,20.4331747518,8.17195439415406
"indefin",100,1,1,15.381407759783
"unforgett",86.42,50,14.6890988955237,9.73755157000828
"decad",69.6746031746032,126,25.1030551972415,8.40412783628309
"electr",68.625,32,21.7064739759363,10.381407759783
"foster",68.3928571428571,28,17.2556868356079,10.5740528377254
"hopkin",63.025641025641,39,18.9655916443323,10.0960055409208
"têteàtêt",97,1,1,15.381407759783
"maximumsecur",97,1,1,15.381407759783
"countri",71.3103448275862,87,19.8305234306009,8.93846426393428
"cannibalist",64.25,4,23.1867077323338,13.381407759783
"doctor",60.0434782608696,23,25.6916958084542,10.857845803726
"erudit",73.5,6,25.6961535466558,12.7964452590618
"lecter",66.6,10,24.6464702557391,12.0594796648956
"satan",60,16,21.0333056017556,11.381407759783
"sherlock",60.3571428571429,14,23.5852475433281,11.5740528377254
"holm",62.8918918918919,37,19.6007523500526,10.1719543941541
"spasm",51.1428571428571,7,28.5767327737749,12.5740528377254
"violenc",60.8526645768025,319,22.9894253627366,7.06399514601814
"erupt",61,17,26.4975489018062,11.2939449185327
"beneath",64.6728971962617,107,21.8796080445277,8.63994077338186
"refin",70.1,20,21.7792913105433,11.0594796648956
"mask",61.25,48,22.516445961369,9.79644525906185
"felt",71.6732673267327,101,20.9725355981113,8.72319627703121
"presenc",59.2272727272727,154,21.0921155567563,8.11462121908811
"manifest",63.0555555555556,18,24.5108791394217,11.2114827583407
